year-of-birth;party;last-name;first-name;is-followed-by-us;twitter-handle
1961;CDU;Bertram; Ute;FALSCH;null
1970;CDU;Beyer; Peter;WAHR;@PeterbeyerCDU
1979;CDU;Bilger; Steffen;WAHR;@SteffenBilger
1957;DIE LINKE;Binder; Karin;WAHR;@karinbinder
1950;SPD;Binding; Lothar;WAHR;@Lothar_Binding
1962;CDU;Binninger; Clemens;FALSCH;null
1961;DIE LINKE;Birkwald; Matthias W.;WAHR;@MWBirkwald
1952;CDU;Bleser; Peter;FALSCH;null
1966;SPD;Blienert; Burkhard;FALSCH;null
1958;DIE LINKE;Bluhm; Heidrun;FALSCH;null
1950;CDU;B�hmer; Maria;FALSCH;null
1952;CDU;Bosbach; Wolfgang;FALSCH;null
1954;CDU;Brackmann; Norbert;FALSCH;null
1957;CDU;Brahmig; Klaus;FALSCH;null
1973;CDU;Brand; Michael;FALSCH;null
1977;CSU;Brandl; Reinhard;FALSCH;@reinhardbrandl
1950;CDU;Brandt; Helmut;FALSCH;null
1979;GR�NE;Brantner; Franziska ;WAHR;@fbrantner
1951;SPD;Brase; Willi;FALSCH;null
1967;CDU;Brauksiepe; Ralf;FALSCH;null
1972;CDU;Braun; Helge;WAHR;@Hbraun
1962;CDU;Brehmer; Heike;WAHR;@HeikeBrehmerMdB
1968;CDU;Brinkhaus; Ralph;WAHR;@rbrinkhaus
1985;GR�NE;Brugger; Agnieszka;WAHR;@agnieszka_mdb
1953;SPD;Brunner; Karl-Heinz;WAHR;@Brunnerkarl
1971;DIE LINKE;Buchholz; Christine;WAHR;@ch_buchholz
1956;DIE LINKE;Bulling-Schr�ter; Eva;FALSCH;null
1951;SPD;Bulmahn; Edelgard;FALSCH;null
1971;SPD;B�low; Marco;WAHR;@marcobuelow
1964;SPD;Burkert; Martin;WAHR;@BurkertMartin
1951;CDU;Caesar; Cajus Julius;FALSCH;null
1974;SPD;Castellucci; Lars ;WAHR;@larscastellucci
1954;DIE LINKE;Claus; Roland;FALSCH;null
1964;CDU;Connemann; Gitta;WAHR;@GittaConnemann
1969;SPD;Cosse; J�rgen;WAHR;@juergencosse
1950;SPD;Crone; Petra;FALSCH;null
1975;DIE LINKE;Dagdelen; Sevim;WAHR;@SevimDagdelen
1956;SPD;Daldrup; Bernhard;FALSCH;null
1950;DIE LINKE;Dehm; Diether;WAHR;@Diether_Dehm
1971;GR�NE;Delig�z; Ekin;WAHR;@ekindeligoez
1961;SPD;Diaby; Karamba;WAHR;@KarambaDiaby
1953;CDU;Dinges-Dierig; Alexandra;FALSCH;null
1964;SPD;Dittmar; Sabine;FALSCH;null
1970;CSU;Dobrindt; Alexander;FALSCH;null
1967;CDU;Donth; Michael;FALSCH;null
1965;CDU;D�rflinger; Thomas;FALSCH;null
1962;SPD;D�rmann; Martin;FALSCH;null
1976;GR�NE;D�rner; Katja;WAHR;@katjadoerner
1953;CDU;D�tt; Marie-Luise;FALSCH;null
1951;SPD;Drobinski-Wei�; Elvira;FALSCH;null
1984;GR�NE;Dr�ge; Katharina;FALSCH;@katdro
1971;CSU;Durz; Hansj�rg;WAHR;@Hansjoerg_Durz
1958;CSU;Eberl; Iris;WAHR;@IrisEberl
1964;GR�NE;Ebner; Harald;WAHR;@ebner_sha
1952;CDU;Eckenbach; Jutta;WAHR;@Jeckenbach
1969;SPD;Edathy; Sebastian;FALSCH;null
1952;SPD;Ehrmann; Siegmund;WAHR;@EhrmannSiggi
1960;SPD;Engelmeier-Heite; Michaela;WAHR;@michaelaengel
1944;SPD;Erler; Gernot;FALSCH;null
1954;DIE LINKE;Ernst; Klaus;WAHR;@ernst_klaus
1955;SPD;Ernstberger; Petra;WAHR;@Pernstberger
1961;SPD;Esken; Saskia;WAHR;@EskenSaskia
1949;SPD;Eversmeyer; Karin;FALSCH;null
1965;CSU;Fabritius; Bernd;WAHR;@BerndFabritius
1963;CDU;F�rber; Hermann;FALSCH;null
1972;SPD;Fechner; Johannes;FALSCH;null
1965;CDU;Feiler; Uwe;WAHR;@UweFe
1965;CDU;Feist; Thomas;WAHR;@drthomasfeist
1968;SPD;Felgentreu; Fritz;WAHR;@fritzfelgentreu
1963;CDU;Ferlemann; Enak;FALSCH;null
1958;SPD;Ferner; Elke;WAHR;@Elke_Ferner
1956;SPD;Finckh-Kr�mer; Ute;FALSCH;null
1957;CDU;Fischbach; Ingrid;FALSCH;null
1966;CDU;Fischer; Axel;WAHR;@Axel_Fischer
1943;CDU;Fischer; Dirk;FALSCH;null
1963;CDU;Flachsbarth; Maria;FALSCH;null
1974;SPD;Flisek; Christian;WAHR;@ChristianFlisek
1952;CDU;Flosbach; Klaus-Peter;FALSCH;null
1957;SPD;Fograscher; Gabriele;WAHR;@GabiFograscher
1960;SPD;Franke; Edgar;WAHR;@FrankeEdgar
1951;SPD;Freese; Ulrich;WAHR;@UliFreese
1973;CDU;Frei; Thorsten;FALSCH;null
1953;SPD;Freitag; Dagmar;FALSCH;null
1973;CSU;Freudenstein; Astrid;WAHR;@dieFreudenstein
1957;CSU;Friedrich; Hans-Peter;WAHR;@HPFriedrichCSU
1964;CSU;Frieser; Michael;WAHR;@MichaelFrieser
1949;CDU;Fuchs; Michael;WAHR;@drmfuchs
1952;CDU;Fuchtel; Hans-Joachim;WAHR;@fuchtel
1974;CDU;Funk; Alexander;FALSCH;null
1959;SPD;Gabriel; Sigmar;WAHR;@sigmargabriel
1960;CDU;G�dechens; Ingo;FALSCH;null
1949;GR�NE;Gambke; Thomas;FALSCH;null
1970;GR�NE;Gastel; Matthias;WAHR;@MatthiasGastel
1949;CSU;Gauweiler; Peter;FALSCH;null
1971;CDU;Gebhart; Thomas;WAHR;@thomasgebhart
1943;DIE LINKE;Gehrcke; Wolfgang;WAHR;@WolfgangGehrcke
1977;GR�NE;Gehring; Kai;WAHR;@KaiGehring
1960;SPD;Gerdes; Michael;FALSCH;null
1956;CDU;Gerig; Alois;FALSCH;null
1971;SPD;Gerster; Martin;FALSCH;null
1951;CDU;Gienger; Eberhard;FALSCH;null
1978;CDU;Giousouf; Cemile;FALSCH;null
1964;SPD;Gleicke; Iris;FALSCH;null
1962;SPD;Gl�ckner;Angelika;WAHR;@A_Gloeckner
1975;DIE LINKE;Gohlke; Nicole;WAHR;@NicoleGohlke
1975;DIE LINKE;Golze; Diana;WAHR;@GolzeDiana
1950;CSU;G�ppel; Josef;FALSCH;null
1966;GR�NE;G�ring-Eckardt; Katrin;WAHR;@GoeringEckardt
1955;SPD;Gottschalck; Ulrike;FALSCH;null
1966;SPD;Griese; Kerstin;WAHR;@KerstinGriese
1961;CDU;Grindel; Reinhard;FALSCH;null
1965;CDU;Groden-Kranich; Ursula;FALSCH;null
1961;CDU;Gr�he; Hermann;WAHR;@groehe
1966;CDU;Gr�hler; Klaus-Dieter;FALSCH;null
1955;SPD;Groneberg; Gabriele;WAHR;@Ggroneberg
1956;SPD;Gro�; Michael;WAHR;@michaelgrossmdb
1960;CDU;Grosse-Br�mer; Michael;WAHR;@MGrosseBroemer
1964;CDU;Grotel�schen; Astrid;FALSCH;null
1954;DIE LINKE;Groth; Annette;WAHR;@Annette_Groth
1975;SPD;Gr�tsch; Uli;FALSCH;null
1959;CDU;Gr�bel; Markus;WAHR;@GruebelMdb
1955;CDU;Grund; Manfred;WAHR;@manfred_grund
1971;CDU;Grundmann; Oliver;FALSCH;null
1962;CDU;Gr�tters; Monika;FALSCH;null
1949;CDU;Gundelach; Herlind;WAHR;@Hgundelach
1947;SPD;Gunkel; Wolfgang;FALSCH;undefined
1966;CDU;Guntzler; Fritz;FALSCH;undefined
1970;CDU;Gutting; Olav;WAHR;@olavgutting
1948;DIE LINKE;Gysi; Gregor;WAHR;@GregorGysi
1966;CDU;Haase; Christian;;undefined
1955;SPD;Hagedorn; Bettina;FALSCH;undefined
1970;SPD;Hagl-Kehl; Rita;FALSCH;undefined
1963;DIE LINKE;Hahn; Andr�;FALSCH;undefined
1974;CSU;Hahn; Florian;WAHR;@hahnflo
1963;GR�NE;Hajduk; Anja;WAHR;@HajdukBundestag
1945;CDU;Hajek; Rainer;WAHR;@HajekRainer
1969;SPD;Hakverdi; Metin;WAHR;@MetinHakverdi
1964;SPD;Hampel; Ulrich;FALSCH;undefined
1966;DIE LINKE;Hansel; Heike;WAHR;@HeikeHaensel
1971;CDU;Harbarth; Stephan;WAHR;@stephanharbarth
1963;CDU;Hardt; J�rgen;WAHR;@juergenhardt
1963;SPD;Hartmann; Michael;FALSCH;@HartmannMdB
1977;SPD;Hartmann; Sebastian;FALSCH;@sebast_hartmann
1950;CSU;Hasselfeldt; Gerda;FALSCH;undefined
1961;GR�NE;Hasselmann; Britta;WAHR;@BriHasselmann
1977;CDU;Hauer; Matthias;WAHR;@MatthiasHauer
1984;CDU;Hauptmann; Mark;WAHR;@MarkHauptmann
1982;CDU;Heck; Stefan;WAHR;@StHeck
1961;SPD;Heidenblut; Dirk;WAHR;@dirk_heidenblut
1966;CDU;Heider; Matthias;WAHR;@MatthiasHeider
1949;CDU;Heiderich; Helmut;FALSCH;undefined
1972;SPD;Heil; Hubertus;WAHR;@hubertus_heil
1961;CDU;Heil; Mechthild;WAHR;@MechthildHeil
1953;DIE LINKE;Hein; Rosemarie;WAHR;@RosemarieHein
1964;CDU;Heinrich; Frank;WAHR;@FrankHeinrich
1963;SPD;Heinrich; Gabriela;WAHR;@GaHeinrich
1977;SPD;Held; Marcus ;WAHR;@MarcusHeld_SPD
1978;CDU;Helfrich; Mark Andre;FALSCH;undefined
1951;CDU;Heller; Uda;FALSCH;undefined
1958;SPD;Hellmich; Wolfgang;WAHR;@HellmichMdB
1957;CDU;Hellmuth; J�rg;FALSCH;
1952;SPD;Hendricks; Barbara;FALSCH;
1954;CDU;Henke; Rudolf;FALSCH;
1962;SPD;Henn; Heidtrud;FALSCH;
1965;CDU;Hennrich; Michael;FALSCH;
1958;SPD;Herzog; Gustav;FALSCH;
1972;CDU;Heveling; Ansgar;FALSCH;
1953;SPD;Hillerohm; Gabriele;FALSCH;
1950;CDU;Hintze; Peter;FALSCH;
1958;CDU;Hinz; Peter;FALSCH;
1962;SPD;Hinz; Petra;FALSCH;
1959;GR�NE;Hinz; Priska;WAHR;@PriskaHinz
1976;CDU;Hirte; Christian;WAHR; @ChristianHirte
1958;CDU;Hirte; Heribert;WAHR; @HHirte
1982;SPD;Hitschler; Thomas;WAHR;@ThomasHitschler
1954;CDU;Hochbaum; Robert;FALSCH;
1975;CSU;Hoffmann; Alexander;WAHR; @Aleximander
1961;CDU;Hoffmann; Thorsten;WAHR; @HoffmannMdB
1970;GR�NE;Hofreiter; Anton;WAHR; @ToniHofreiter
1950;DIE LINKE;Hoger; Inge;FALSCH;
1969;SPD;H�gl; Eva;WAHR; @EvaHoegl
1952;GR�NE;Hohn; Barbel;WAHR; @BaerbelHoehn
1956;CSU;Holmeier; Karl;FALSCH;
1960;CDU;Holzenkamp; Franz-Josef;WAHR; @fj_josef
1972;CDU;Hoppenstedt; Hendrik;FALSCH;
1967;CDU;Horb; Margaret;FALSCH;
1972;CDU;Hornhues; Bettina;WAHR; @BettinaHornhues
1956;CDU;Huber; Karl-heinz;FALSCH;
1955;CDU;Hubinger; Anette;FALSCH;
1963;DIE LINKE;Hunko; Andrej;WAHR;@AndrejHunko
1968;DIE LINKE;Hupach; Sigrid;FALSCH;
1956;CDU;Huppe; Hubert;FALSCH;
1983;SPD;Ilgen; Matthias;WAHR; @MatthiasIlgen
1970;CSU;Irlstorfer; Erich;FALSCH;
1976;GR�NE;Janecek; Dieter;WAHR; @DJanecek
1978;SPD;Jantz; Christina;WAHR; @christinajantz
1973;CDU;Jarzombek; Thomas;WAHR; @tj_tweets
1951;DIE LINKE;Jelpke; Ulla;WAHR; @UllaJelpke
1967;CDU;J�rri�en; Sylvia;FALSCH;
1966;SPD;Jost; Reinhold;FALSCH;
1975;CDU;Jung; Andreas;FALSCH;
1949;CDU;Jung; Franz Josef;WAHR; @jungfj
1962;CDU;Jung; Xaver;WAHR; @XaverJung
1967;SPD;Junge; Frank;PENDING; @fjunge
1959;SPD;Juratovic; Josip;WAHR; @josip_juratovic
1962;SPD;Jurk; Thomas;FALSCH;
1942;CDU;Juttner; Egon;WAHR; @EgonJuettner
1970;SPD;Kaczmarek; Oliver;WAHR; @KaczmarekOliver
1963;SPD;Kahrs; Johannes;WAHR; @kahrs
1949;CSU;Kalb; Bartholomaus;FALSCH;
1948;CDU;Kammer; Hanswerner;FALSCH;
1963;CDU;Kampeter; Steffen;FALSCH;
1980;SPD;Kampmann; Christina;WAHR; @c_kampmann
1984;CDU;Kanitz; Steffen;WAHR; @steffenkanitz
1954;SPD;Kapschack; Ralf;FALSCH;
1980;DIE LINKE;Karawanskij; Susanna;WAHR; @SuzaKarawanskij
1950;CSU;Karl; Alois;FALSCH;
1971;CDU;Karliczek; Anja;WAHR; @AnjaKarliczek
1958;DIE LINKE;Kassner; Kerstin;FALSCH;
1957;CDU;Kaster; Bernhard;FALSCH;
1960;SPD;Katzmarek; Gabriele;WAHR; @GabyKatzmarek
1949;CDU;Kauder; Volker;FALSCH;
1969;CDU;Kaufmann; Stefan;WAHR; @StefanKaufmann
1953;GR�NE;Kekeritz; Uwe;WAHR; @UweKekeritz
1968;SPD;Kelber; Ulrich;WAHR; @UlrichKelber
1960;SPD;Kermer; Marina;WAHR; @kermer_marina
1969;GR�NE;Keul; Katja;FALSCH;
1963;CDU;Kiesewetter; Roderich;WAHR; @RKiesewetter
1985;GR�NE;Kindler; Svenchristian;WAHR; @sven_kindler
1959;CDU;Kippels; Georg;FALSCH;
1978;DIE LINKE;Kipping; Katja;WAHR; @katjakipping
1975;SPD;Kiziltepe; Cansel;WAHR; @CanselK
1952;SPD;Klare; Arno;WAHR; @arnoklare
1960;CDU;Klein; Volkmar;WAHR; @VolkmarKlein
1958;GR�NE;Kleinschmeink; Maria;FALSCH;
1948;CDU;Klimke; J�rgen;WAHR; @Klimke_CDU
1978;SPD;Klingbeil; Lars;WAHR; @larsklingbeil
1967;CDU;Knoerig; Axel;FALSCH;
1944;GR�NE;Koenigs; Tom;WAHR; @KoenigsGruen
1962;CDU;Koeppen; Jens;WAHR; @JensKoeppen
1967;SPD;Kofler; B��rbel;WAHR; @BaerbelKofler
1980;SPD;Kolbe; Daniela;WAHR; @danielakolbe
1967;SPD;Kompel; Birgit;FALSCH;
1977;CDU;Koob; Markus;WAHR; @KoobMar
1979;CDU;Korber; Carsten;FALSCH;
1977;DIE LINKE;Korte; Jan;WAHR; @jankortemdb
1959;CSU;Koschyk; Hartmut;WAHR; @koschyk
1952;GR�NE;Kottinguhl; Sylvia;WAHR; @BabettesChefin
1957;CDU;Kovac; Kordula;FALSCH;
1967;SPD;Kramme; Anette;WAHR; @AnetteKramme
1956;DIE LINKE;Krellmann; Jutta;WAHR; @JuttaKrellmann
1975;CDU;Kretschmer; Michael;WAHR;@kretsc
1964;CDU;Krichbaum; Gunther;FALSCH;
1969;CDU;Krings; G�nter;WAHR; @guenterkrings
1969;GR�NE;Krischer; Oliver;WAHR; @Oliver_Krischer
1952;SPD;Kruger; Hans-Ulrich;FALSCH;
1961;CDU;Kruse; R�diger;WAHR; @RuedigerKruse
1962;CDU;Kudla; Bettina;WAHR; @KudlaLeipzig
1979;GR�NE;Kuhn; Christian;WAHR; @ChrisKuehn_mdb
1979;GR�NE;Kuhn; Stephan;WAHR; @stephankuehn
1947;SPD;Kuhnmengel; Helga;FALSCH; 
1967;CDU;Kuhne; Roy;WAHR; @Dr_Roy_Kuehne
1955;GR�NE;Kunast; Renate;WAHR; @RenateKuenast
1964;DIE LINKE;Kunert; Katrin;FALSCH;
1966;GR�NE;Kurth; Markus;WAHR; @markuskurthmdb
1954;CDU;Lach; G�nter;FALSCH;
1962;CDU;Lagosky; Uwe;FALSCH;
1965;SPD;Lambrecht; Christine;WAHR; @LambrechtMdB
1951;CDU;Lamers; Karl A.;FALSCH;
1959;CDU;Lammel; Andreas;FALSCH;
1948;CDU;Lammert; Norbert;FALSCH;
1954;CDU;Landgraf; Katharina;FALSCH;
1964;SPD;Lange; Christian;WAHR; @LangeMdB
1969;CSU;Lange; Ulrich;WAHR; @UlrichLange
1954;CSU;Lanzinger; Barbara;WAHR;
1976;CSU;Launert; Silke;WAHR; @DrLaunert
1963;SPD;Lauterbach; Karl;WAHR; @Karl_Lauterbach
1972;DIE LINKE;Lay; Caren;WAHR; @CarenLay
1967;GR�NE;Lazar; Monika;WAHR; @monikalazar
1959;CSU;Lehrieder; Paul;FALSCH;
1961;DIE LINKE;Leidig; Sabine;WAHR; @SabineLeidig
1975;CDU;Leikert; Katja;WAHR; @KLeikert
1968;GR�NE;Lemke; Steffi;WAHR; @SteffiLemke
1965;SPD;Lemme; Steffenclaudio;WAHR; @SCLemme
1972;CDU;Lengsfeld; Philipp;WAHR; @PLengsfeld
1967;DIE LINKE;Lenkert; Ralph;FALSCH;
1981;CSU;Lenz; Andreas;WAHR;@DerLenzMdB
1952;CSU;Lerchenfeld; Philipp;FALSCH;
1974;DIE LINKE;Leutert; Michael;WAHR; @MichaelLeutert
1958;CDU;Leyen von der; Ursula;FALSCH;
1960;CDU;Lezius; Antje;FALSCH;
1972;DIE LINKE;Liebich; Stefan;WAHR; @berlinliebich
1963;CDU;Liebing; Ingbert;WAHR;@IngbertLiebing
1953;CDU;Lietz; Matthias;WAHR;@MatthiasLietz
1970;CSU;Lindholz; Andrea;WAHR;@AndreaLindholz
1982;GR�NE;Lindner; Tobias;WAHR;@tobiaslindner
1977;CDU;Linnemann; Carsten;FALSCH;null
1963;CDU;Lips; Patricia;FALSCH;null
1965;SPD;Lischka; Burkhard;WAHR;@LischkaB
1942;CDU;Lorenz; Wilfried;FALSCH;null
1951;SPD;Losekrug-M�ller; Gabriele;FALSCH;null
1958;SPD;Lotze; Hiltrud;WAHR;@HiltrudLotze
1961;DIE LINKE;L�tzsch; Gesine;WAHR;@LoetzschMdB
1962;CDU;Lucking-Michel; Claudia;FALSCH;null
1975;CDU;Luczak; Jan-Marco;WAHR;@JM_Luczak
1975;CSU;Ludwig; Daniela;FALSCH;null
1964;SPD;Luhmann; Kirsten;FALSCH;null
1969;DIE LINKE;Lutze; Thomas;WAHR;@thlutze
1962;CDU;Maag; Karin;FALSCH;null
1979;CDU;Magwas; Yvonne;WAHR;@YvonneMagwas
1965;CDU;Mahlberg; Thomas;FALSCH;null
1981;GR�NE;Maisch; Nicole;WAHR;@NicoleMaisch
1954;CDU;Maiziere; Thomas de;FALSCH;null
1958;SPD;Malecha-Nissen; Birgit;FALSCH;null
1958;CDU;Manderla; Gisela;WAHR;@ManderlaGisela
1963;SPD;Marks; Caren;FALSCH;null
1962;CDU;Marschall; Matern Von;WAHR;@Von_Marschall
1961;CDU;Marwitz; Hans-Georg von der;FALSCH;null
1971;SPD;Mast; Katja;FALSCH;null
1969;CDU;Mattfeldt; Andreas;FALSCH;null
1954;SPD;Mattheis; Hilde;WAHR;@HildeMattheis
1973;CSU;Mayer; Stephan;FALSCH;null
1953;CSU;Meier; Reiner;FALSCH;null
1961;CDU;Meister; Michael;WAHR;@meister_schafft
1966;GR�NE;Meiwald; Peter;WAHR;@PeterMeiwald
1962;DIE LINKE;Menz; Birgit;FALSCH;null
1954;CDU;Merkel; Angela;FALSCH;null
1981;CDU;Metzler; Jan;WAHR;@JanMetzler
1949;CDU;Michalk; Maria;FALSCH;null
1949;CSU;Michelbach; Hans;FALSCH;null
1964;CDU;Middelberg; Mathias;FALSCH;null
1968;SPD;Miersch; Matthias;FALSCH;null
1976;GR�NE;Mihalic; Irene;WAHR;@IreneMihalic
1964;SPD;Mindrup; Klaus;FALSCH;null
1979;CDU;Missfelder; Philipp;WAHR;@Missfelder
1958;SPD;Mittag; Susanne;WAHR;@susanne_mittag
1960;DIE LINKE;M�hring; Cornelia;WAHR;@Conni_Moehring
1957;CDU;Monstadt; Dietrich;FALSCH;null
1949;CDU;Moring; Karsten;FALSCH;null
1955;CSU;Mortler; Marlene;WAHR;@marlenemortler
1955;CDU;Mosblech; Volker;FALSCH;null
1952;CDU;Motschmann; Elisabeth;FALSCH;null
1984;DIE LINKE;Movassat; Niema;WAHR;@NiemaMovassat
1959;SPD;M�ller; Bettina;WAHR;@BetMueller
1970;CDU;M�ller; Carsten;FALSCH;null
1964;SPD;M�ller; Detlef;FALSCH;null
1955;CSU;M�ller; Gerd;FALSCH;null
1986;DIE LINKE;M�ller; Norbert;WAHR;@Norbert_MdB
1975;CSU;M�ller; Stefan;WAHR;@smuellermdb
1960;GR�NE;M�ller-Gemmeke; Beate;WAHR;@GrueneBeate
1980;SPD;M�ntefering; Michelle;WAHR;@M_Muentefering
1964;CDU;Murmann; Philipp;FALSCH;null
1968;GR�NE;Mutlu; �zcan;WAHR;@OezcanMutlu
1959;SPD;Mutzenich; Rolf;FALSCH;null
1970;SPD;Nahles; Andrea;WAHR;@nahles
1969;DIE LINKE;Neu; Alexander S.;WAHR;@AlexanderSNeu
1967;CDU;Nick; Andreas;WAHR;@DrAndreasNick
1964;SPD;Nietan; Dietmar;FALSCH;null
1959;SPD;Nissen; Ulli;WAHR;@UlliNissen
1959;CDU;Noll; Michaela;FALSCH;null
1957;DIE LINKE;Nord; Thomas;WAHR;@NordMdb
1971;GR�NE;Notz von; Konstantin;WAHR;@KonstantinNotz
1975;GR�NE;Nouripour; Omid;WAHR;@nouripour
1941;CDU;Nowak; Helmut;WAHR;@Helmut_Nowak
1969;CSU;Nusslein; Georg;FALSCH;null
1984;CSU;Obermeier; Julia;WAHR;@Julia_Obermeier
1975;CDU;Oellers; Wilfried;WAHR;@WilfriedOellers
1954;SPD;Oppermann; Thomas;WAHR;@ThomasOppermann
1980;CSU;O�ner; Florian;WAHR;@Florian_Ossner
1953;GR�NE;Ostendorff; Friedrich;WAHR;@FOstendorff
1979;CDU;Ostermann; Tim;WAHR;@OstermannMdB
1968;CDU;Otte; Henning;FALSCH;null
1965;GR�NE;�zdemir; Cem;WAHR;@cem_oezdemir
1987;SPD;Ozdemir; Mahmut;WAHR;@oezdemir_spd
1967;SPD;�zo?uz; Aydan;WAHR;@oezoguz
1957;CDU;Pahlmann; Ingrid;FALSCH;null
1961;CDU;Pantel; Sylvia;WAHR;@SylviaPantel
1963;SPD;Paschke; Markus;WAHR;@MarkusPaschke
1947;CDU;Patzelt; Martin;FALSCH;null
1984;CDU;P�tzold; Martin;FALSCH;null
1963;DIE LINKE;Pau; Petra;WAHR;@PetraPauMaHe
1968;GR�NE;Paus;Lisa;WAHR;@lisapaus
1965;SPD;Petry; Christian;WAHR;@CPetryMdB
1962;DIE LINKE;Petzold; Harald;WAHR;@HPetzold
1951;CDU;Petzold; Ulrich;FALSCH;null
1967;CDU;Pfeiffer; Joachim;WAHR;@jopf
1951;CDU;Pfeiffer; Sibylle;WAHR;@SibyllePfeiffer
1973;SPD;Pflugradt; Jeannine;FALSCH;null
1955;SPD;Pilger; Detlev;WAHR;@DetlevPilger
1959;DIE LINKE;Pitterle; Richard;FALSCH;null
1959;CDU;Pofalla; Ronald;FALSCH;null
1962;CDU;Pols; Eckhard;FALSCH;null
1968;SPD;Poschmann; Sabine;FALSCH;null
1948;SPD;Po�; Joachim;FALSCH;null
1959;SPD;Post; Achim;WAHR;@Achim_P
1981;SPD;Post; Florian;WAHR;@FlorianPost
1955;GR�NE;Pothmer; Brigitte;WAHR;@BrigittePothmer
1954;SPD;Priesmeier; Wilhelm;WAHR;@W_Priesmeier
1972;SPD;Pronold; Florian;WAHR;@FlorianPronold
1968;SPD;Raabe; Sascha;FALSCH;null
1962;SPD;Raatz; Simone;FALSCH;null
1971;SPD;Rabanus; Martin;WAHR;@MartinRabanus
1962;CDU;Rachel; Thomas;FALSCH;null
1974;CDU;Radomski; Kerstin;FALSCH;null
1964;CSU;Radwan; Alexander;WAHR;@AlexanderRadwan
1965;CSU;Rainer; Alois Georg Josef;FALSCH;null
1954;CSU;Ramsauer; Peter;FALSCH;null
1957;SPD;Rawert; Mechthild;WAHR;@MechthildRawert
1962;SPD;Rebmann; Stefan;WAHR;@RebmannMdB
1954;CDU;Rehberg; Eckhardt;WAHR;@EckhardtRehberg
1973;CDU;Reiche; Katherina;FALSCH;null
1953;SPD;Reichenbach; Gerold;WAHR;@g_reichenbach
1967;SPD;Reimann; Carola;FALSCH;null
1967;DIE LINKE;Renner; Martina;WAHR;@MartinaRenner
1962;SPD;Ridder; Daniela De;WAHR;@DeRidder_MdB
1957;CDU;Riebsamen; Lothar;FALSCH;null
1960;CDU;Rief; Josef;FALSCH;null
1935;CDU;Riesenhuber; Heinz;FALSCH;null
1962;SPD;Rimkus; Andreas;WAHR;@SPDuesseldorf
1959;CDU;Ripsam; Iris;FALSCH;null
1975;SPD;Rix;S�nke;WAHR;@SoenkeRix
1959;SPD;Rode-Bosse; Petra;FALSCH;null
1986;SPD;Rohde; Dennis;WAHR;@DennisRohde
1959;CDU;R�ring; Johannes;FALSCH;null
1970;CDU;R�sel; Kathrin;FALSCH;null
1976;SPD;Rosemann; Martin;WAHR;@MartinRosemann
1964;SPD;R�spel; Ren�;FALSCH;null
1951;SPD;Rossmann; Ernst Dieter;FALSCH;null
1966;GR�NE;R��ner; Tabea;WAHR;@TabeaRoessner
